"species_id","phenophase_id","common_name","phenophase_description","site_name","elevation_in_meters","elev_bands","tmin_winter","tmin_spring","tmax_winter","tmax_spring","prcp_spring","prcp","acc_prcp","daylength","individual_id","year","day_of_year"
3,483,"red maple","Leaves","GRSM-Tremont-Marcs Trail",510,"<800m",-3.6,7.28,6.08,20.48,366,0,977,45965,33124,2010,244
3,483,"red maple","Leaves","GRSM-Tremont-Marcs Trail",510,"<800m",-3.6,7.28,6.08,20.48,366,0,977,45965,33131,2010,244
3,483,"red maple","Leaves","GRSM-Tremont-Marcs Trail",510,"<800m",-3.6,7.28,6.08,20.48,366,0,977,45965,33134,2010,244
3,483,"red maple","Leaves","GRSM-Tremont-Marcs Trail",510,"<800m",-3.6,7.28,6.08,20.48,366,0,977,45965,33135,2010,244
1187,483,"sourwood","Leaves","GRSM-Tremont-Marcs Trail",510,"<800m",-3.6,7.28,6.08,20.48,366,0,977,45965,75839,2010,244
3,483,"red maple","Leaves","GRSM-Tremont-Falls Trail",444,"<800m",-3.6,7.28,6.08,20.48,366,0,1049,43200,33191,2010,263
61,483,"sugar maple","Leaves","GRSM-Tremont-Falls Trail",444,"<800m",-3.6,7.28,6.08,20.48,366,0,1049,43200,33192,2010,263
61,483,"sugar maple","Leaves","GRSM-Tremont-Falls Trail",444,"<800m",-3.6,7.28,6.08,20.48,366,0,1049,43200,33193,2010,263
61,483,"sugar maple","Leaves","GRSM-Tremont-Falls Trail",444,"<800m",-3.6,7.28,6.08,20.48,366,0,1049,43200,33195,2010,263
61,483,"sugar maple","Leaves","GRSM-Tremont-Falls Trail",444,"<800m",-3.6,7.28,6.08,20.48,366,0,1049,43200,33197,2010,263
3,483,"red maple","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,33136,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,33138,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,33139,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,33140,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,33141,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,33142,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,33145,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,33146,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,33148,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,33151,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,33153,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,33156,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,33157,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,33158,2010,273
100,483,"white oak","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,33160,2010,273
1187,483,"sourwood","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,75569,2010,273
1187,483,"sourwood","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,75570,2010,273
1187,483,"sourwood","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,75571,2010,273
1187,483,"sourwood","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,75572,2010,273
1187,483,"sourwood","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,75573,2010,273
1187,483,"sourwood","Leaves","GRSM-Tremont-Lumber Ridge",512,"<800m",-3.6,7.28,6.08,20.48,366,14,1132,41818,75574,2010,273
98,483,"sweet birch","Leaves","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.79,7.22,5.82,20.19,358,14,1127,41818,33166,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.79,7.22,5.82,20.19,358,14,1127,41818,33169,2010,273
82,483,"tuliptree","Leaves","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.79,7.22,5.82,20.19,358,14,1127,41818,33170,2010,273
823,483,"American hornbeam","Leaves","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.79,7.22,5.82,20.19,358,14,1127,41818,33172,2010,273
82,483,"tuliptree","Leaves","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.79,7.22,5.82,20.19,358,14,1127,41818,33175,2010,273
82,483,"tuliptree","Leaves","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.79,7.22,5.82,20.19,358,14,1127,41818,33176,2010,273
82,483,"tuliptree","Leaves","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.79,7.22,5.82,20.19,358,14,1127,41818,33179,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.79,7.22,5.82,20.19,358,14,1127,41818,33180,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.79,7.22,5.82,20.19,358,14,1127,41818,33181,2010,273
98,483,"sweet birch","Leaves","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.79,7.22,5.82,20.19,358,14,1127,41818,33182,2010,273
79,483,"American beech","Leaves","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.79,7.22,5.82,20.19,358,14,1127,41818,33184,2010,273
3,483,"red maple","Leaves","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.79,7.22,5.82,20.19,358,14,1127,41818,33185,2010,273
1172,483,"yellow buckeye","Leaves","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.79,7.22,5.82,20.19,358,14,1127,41818,75737,2010,273
1172,483,"yellow buckeye","Leaves","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.79,7.22,5.82,20.19,358,14,1127,41818,75738,2010,273
1172,483,"yellow buckeye","Leaves","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.79,7.22,5.82,20.19,358,14,1127,41818,75833,2010,273
61,483,"sugar maple","Leaves","GRSM-Tremont-Cemetery",435,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,33200,2010,276
82,483,"tuliptree","Leaves","GRSM-Tremont-Cemetery",435,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,33205,2010,276
3,483,"red maple","Leaves","GRSM-Tremont-Cemetery",435,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,33206,2010,276
61,483,"sugar maple","Leaves","GRSM-Tremont-Cemetery",435,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,33208,2010,276
98,483,"sweet birch","Leaves","GRSM-Tremont-Cemetery",435,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,33209,2010,276
82,483,"tuliptree","Leaves","GRSM-Tremont-Cemetery",435,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,33211,2010,276
61,483,"sugar maple","Leaves","GRSM-Tremont-Cemetery",435,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,33212,2010,276
823,483,"American hornbeam","Leaves","GRSM-Tremont-Nature Trail ",405,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,29315,2010,276
823,483,"American hornbeam","Leaves","GRSM-Tremont-Nature Trail ",405,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,29315,2010,276
3,483,"red maple","Leaves","GRSM-Tremont-Nature Trail ",405,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,32898,2010,276
3,483,"red maple","Leaves","GRSM-Tremont-Nature Trail ",405,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,32899,2010,276
823,483,"American hornbeam","Leaves","GRSM-Tremont-Nature Trail ",405,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,32900,2010,276
823,483,"American hornbeam","Leaves","GRSM-Tremont-Nature Trail ",405,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,32901,2010,276
823,483,"American hornbeam","Leaves","GRSM-Tremont-Nature Trail ",405,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,32930,2010,276
823,483,"American hornbeam","Leaves","GRSM-Tremont-Nature Trail ",405,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,32930,2010,276
823,483,"American hornbeam","Leaves","GRSM-Tremont-Nature Trail ",405,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,33104,2010,276
823,483,"American hornbeam","Leaves","GRSM-Tremont-Nature Trail ",405,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,33105,2010,276
823,483,"American hornbeam","Leaves","GRSM-Tremont-Nature Trail ",405,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,33107,2010,276
823,483,"American hornbeam","Leaves","GRSM-Tremont-Nature Trail ",405,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,33108,2010,276
823,483,"American hornbeam","Leaves","GRSM-Tremont-Nature Trail ",405,"<800m",-3.6,7.28,6.08,20.48,366,0,1132,41472,33110,2010,276
