"species_id","phenophase_id","common_name","phenophase_description","site_name","elevation_in_meters","elev_bands","tmin_winter","tmin_spring","tmax_winter","tmax_spring","prcp_spring","prcp","acc_prcp","daylength","individual_id","year","day_of_year"
3,180,"red maple","&gt;=75% of full leaf size (deciduous)","GRSM-Tremont-Marcs Trail",510,"<800m",-3.6,7.28,6.08,20.48,366,0,977,45965,33124,2010,244
3,483,"red maple","Leaves","GRSM-Tremont-Marcs Trail",510,"<800m",-3.6,7.28,6.08,20.48,366,0,977,45965,33124,2010,244
3,180,"red maple","&gt;=75% of full leaf size (deciduous)","GRSM-Tremont-Marcs Trail",510,"<800m",-3.6,7.28,6.08,20.48,366,0,977,45965,33131,2010,244
3,483,"red maple","Leaves","GRSM-Tremont-Marcs Trail",510,"<800m",-3.6,7.28,6.08,20.48,366,0,977,45965,33131,2010,244
3,180,"red maple","&gt;=75% of full leaf size (deciduous)","GRSM-Tremont-Marcs Trail",510,"<800m",-3.6,7.28,6.08,20.48,366,0,977,45965,33134,2010,244
3,483,"red maple","Leaves","GRSM-Tremont-Marcs Trail",510,"<800m",-3.6,7.28,6.08,20.48,366,0,977,45965,33134,2010,244
3,180,"red maple","&gt;=75% of full leaf size (deciduous)","GRSM-Tremont-Marcs Trail",510,"<800m",-3.6,7.28,6.08,20.48,366,0,977,45965,33135,2010,244
3,483,"red maple","Leaves","GRSM-Tremont-Marcs Trail",510,"<800m",-3.6,7.28,6.08,20.48,366,0,977,45965,33135,2010,244
1187,181,"sourwood","&gt;=50% of leaves colored (deciduous)","GRSM-Tremont-Marcs Trail",510,"<800m",-3.6,7.28,6.08,20.48,366,0,977,45965,75839,2010,244
1187,483,"sourwood","Leaves","GRSM-Tremont-Marcs Trail",510,"<800m",-3.6,7.28,6.08,20.48,366,0,977,45965,75839,2010,244
1172,181,"yellow buckeye","&gt;=50% of leaves colored (deciduous)","GRSM-Tremont-Cemetery",435,"<800m",-3.6,7.28,6.08,20.48,366,0,1043,43891,75740,2010,259
1172,182,"yellow buckeye","All leaves colored (deciduous)","GRSM-Tremont-Cemetery",435,"<800m",-3.6,7.28,6.08,20.48,366,0,1043,43891,75740,2010,259
1172,183,"yellow buckeye","&gt;=50% of leaves fallen (deciduous)","GRSM-Tremont-Cemetery",435,"<800m",-3.6,7.28,6.08,20.48,366,0,1043,43891,75740,2010,259
1172,184,"yellow buckeye","All leaves fallen (deciduous)","GRSM-Tremont-Cemetery",435,"<800m",-3.6,7.28,6.08,20.48,366,0,1043,43891,75740,2010,259
1172,181,"yellow buckeye","&gt;=50% of leaves colored (deciduous)","GRSM-Tremont-Cemetery",435,"<800m",-3.6,7.28,6.08,20.48,366,0,1043,43891,75741,2010,259
1172,182,"yellow buckeye","All leaves colored (deciduous)","GRSM-Tremont-Cemetery",435,"<800m",-3.6,7.28,6.08,20.48,366,0,1043,43891,75741,2010,259
