"species","species_id","phenophase_id","common_name","phenophase_description","intensity_value","site_name","elevation_in_meters","elev_bands","tmin_winter","tmin_spring","tmax_winter","tmax_spring","daylength","individual_id","year","day_of_year"
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,45965,75730,2011,100
"flava",1172,483,"yellow buckeye","Leaves","95% or more","GRSM-Tremont-Cemetery",435,"<800m",-3.78,7.8,7.29,21.01,45965,75740,2011,101
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,45965,33227,2011,101
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,47347,33245,2011,111
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,47347,33247,2011,111
"saccharum",61,483,"sugar maple","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,47347,33248,2011,111
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,47347,33250,2011,111
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,47347,33251,2011,111
"saccharum",61,483,"sugar maple","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,47347,33252,2011,111
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,47347,33260,2011,111
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,47347,33262,2011,111
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-West Prong",594,"<800m",-3.89,7.71,7.12,20.83,47347,33263,2011,111
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,47347,32898,2011,111
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,47347,32899,2011,111
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,47347,33111,2011,111
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,47347,33122,2011,111
"saccharum",61,483,"sugar maple","Leaves","95% or more","GRSM-Tremont-Nature Trail ",405,"<800m",-3.78,7.8,7.29,21.01,47347,33123,2011,111
"lenta",98,483,"sweet birch","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,47347,33220,2011,112
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,47347,33223,2011,112
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,47347,33225,2011,112
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,47347,33233,2011,112
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,47347,33236,2011,112
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,47347,33237,2011,112
"caroliniana",823,483,"American hornbeam","Leaves","95% or more","GRSM-Tremont-Lagoons",398,"<800m",-3.78,7.8,7.29,21.01,47347,33240,2011,112
"lenta",98,483,"sweet birch","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,47693,33166,2011,115
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,47693,33169,2011,115
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,47693,33170,2011,115
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,47693,33176,2011,115
"tulipifera",82,483,"tuliptree","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,47693,33179,2011,115
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,47693,33180,2011,115
"rubrum",3,483,"red maple","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,47693,33181,2011,115
"lenta",98,483,"sweet birch","Leaves","95% or more","GRSM-Tremont-Dorsey Branch",423,"<800m",-3.91,7.72,7.06,20.74,47693,33182,2011,115
